Date,VX60d,VX90d,VF75,VVIX,VIX
2018-01-16,12.6507,13.2821,12.9664,106.48999786376953,11.65999984741211
2018-01-17,12.5364,13.1536,12.845,102.62999725341797,11.90999984741211
2018-01-18,12.735,13.325,13.03,103.68000030517578,12.220000267028809
2018-01-19,12.5079,13.1946,12.8513,101.58999633789062,11.270000457763672
2018-01-22,12.5214,13.1964,12.8589,99.68000030517578,11.029999732971191
2018-01-23,12.7946,13.4643,13.1295,98.58999633789062,11.100000381469727
2018-01-24,13.0179,13.6929,13.3554,99.7699966430664,11.470000267028809
2018-01-25,13.15,13.8625,13.5062,101.77999877929688,11.579999923706055
2018-01-26,13.2143,13.8679,13.5411,98.6500015258789,11.079999923706055
2018-01-29,13.9696,14.4321,14.2009,110.01000213623047,13.84000015258789
2018-01-30,14.2179,14.6464,14.4321,113.4800033569336,14.789999961853027
2018-01-31,13.8714,14.3607,14.1161,108.41000366210938,13.539999961853027
2018-02-01,13.6393,14.15,13.8946,105.7699966430664,13.470000267028809
2018-02-02,15.0214,15.1821,15.1018,125.51000213623047,17.309999465942383
2018-02-05,26.1179,22.2982,24.208,177.33999633789062,37.31999969482422
2018-02-06,20.4027,19.4741,19.9384,161.1199951171875,29.979999542236328
2018-02-07,19.5375,18.9036,19.2205,159.02999877929688,27.729999542236328
2018-02-08,20.8527,20.0063,20.4295,180.61000061035156,33.459999084472656
2018-02-09,19.425,18.6321,19.0286,167.27999877929688,29.059999465942383
2018-02-12,19.0652,18.5205,18.7929,140.8000030517578,25.610000610351562
2018-02-13,19.0964,18.6268,18.8616,136.5800018310547,24.969999313354492
2018-02-14,17.7857,17.8232,17.8045,124.48999786376953,19.260000228881836
2018-02-15,17.3393,17.325,17.3321,122.76000213623047,19.1299991607666
2018-02-16,17.3893,17.3707,17.38,121.19999694824219,19.459999084472656
2018-02-20,17.8143,17.6893,17.7518,122.58000183105469,20.600000381469727
2018-02-21,18.0607,17.9407,18.0007,125.7300033569336,20.020000457763672
2018-02-22,17.6161,17.54,17.578,116.9800033569336,18.719999313354492
2018-02-23,16.9054,16.9021,16.9038,110.19000244140625,16.489999771118164
